timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 3 9 0.3686010641294185 0.03139893587058151
1 6 9 0.3729792513826086 0.0270207486173914
1 11 27 0.36781416651717924 0.03218583348282078
2 3 9 0.3712059980057507 0.028794001994249308
2 3 24 0.3685083252052457 0.03149167479475434
2 6 9 0.3686818358353054 0.03131816416469463
2 11 27 0.398774180776797 0.0012258192232030285
3 3 9 0.3970959058912718 0.002904094108728217
3 3 24 0.3636661613330385 0.03633383866696155
4 3 9 0.39528392008479263 0.004716079915207394
4 3 24 0.3873154731777081 0.01268452682229193
