timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 4 12 0.39457715972806784 0.005422840271932183
1 11 24 0.37174159147995356 0.028258408520046463
1 21 25 0.39597143256708084 0.004028567432919183
2 11 24 0.37859920547796005 0.021400794522039968
2 21 25 0.3930810491813994 0.006918950818600611
3 11 24 0.38355381566791685 0.01644618433208317
3 21 25 0.388691450983334 0.011308549016666003
4 4 12 0.3872526599585771 0.012747340041422917
4 11 24 0.37990638964008233 0.02009361035991769
4 15 16 0.3695694334163667 0.0304305665836333
4 21 25 0.38694841155021475 0.013051588449785267
