timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 3 11 0.37420719044410966 0.02579280955589036
1 3 12 0.35467092292634356 0.045329077073656465
1 9 19 0.34385156987853405 0.056148430121465975
2 3 12 0.3519864212134114 0.04801357878658863
2 9 11 0.3853531931146332 0.014646806885366848
2 9 19 0.3595593130546438 0.04044068694535624
2 21 25 0.39588280851134466 0.0041171914886553584
3 3 12 0.35327423837836525 0.046725761621634776
3 9 11 0.3505628060145166 0.04943719398548341
3 9 19 0.359728214999473 0.04027178500052703
3 14 19 0.3675437539529701 0.0324562460470299
3 21 25 0.3871568062416881 0.012843193758311944
4 3 12 0.39055387552734244 0.00944612447265758
4 9 19 0.3825371387536434 0.017462861246356598
4 12 15 0.3859872829925317 0.014012717007468312
4 14 19 0.35318777014670316 0.04681222985329686
4 21 25 0.3839540535635817 0.016045946436418324
