timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 1 6 0.383903876925117 0.016096123074883006
1 4 12 0.39658243872933874 0.0034175612706612846
1 8 20 0.3514503771292766 0.0485496228707234
2 1 6 0.3837047365255178 0.016295263474482236
2 4 12 0.39353220535672545 0.006467794643274571
2 8 20 0.36044546521075355 0.039554534789246476
3 4 12 0.3883319882709743 0.011668011729025707
4 1 6 0.39181875361957524 0.008181246380424778
4 4 12 0.38607115259142866 0.013928847408571365
4 11 27 0.3998635926047084 1.364073952916378E-4
