timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 6 8 0.36684935259526025 0.033150647404739775
1 17 18 0.31119816618133583 0.08880183381866419
2 6 8 0.36654708110112993 0.03345291889887009
2 17 18 0.3108461894838938 0.08915381051610621
3 6 8 0.3701475797041868 0.029852420295813198
3 8 10 0.38375147910869317 0.01624852089130685
3 12 17 0.39068411400615033 0.009315885993849693
3 17 18 0.3135287963639929 0.08647120363600713
4 6 8 0.3711220599728472 0.028877940027152826
4 8 10 0.3710036666741302 0.028996333325869816
4 12 17 0.3857096130409124 0.014290386959087631
4 17 18 0.318235914541174 0.08176408545882602
