timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
27 7 11 0.3959661158201953 0.004033884179804714
28 7 11 0.3732889081591007 0.026711091840899315
28 8 9 0.39921329890182283 7.867010981771894E-4
29 1 15 0.3815930953405533 0.01840690465944672
29 7 11 0.357830250082994 0.042169749917006005
29 8 9 0.365919459869898 0.03408054013010203
29 11 15 0.3698673441806821 0.0301326558193179
30 1 8 0.3864846081596954 0.013515391840304647
30 7 11 0.3544190567886214 0.04558094321137862
30 8 9 0.35660221653497653 0.04339778346502349
31 7 11 0.3905275344717466 0.009472465528253426
31 8 9 0.3587329267336107 0.04126707326638934
32 8 9 0.39344100125468284 0.006558998745317179
36 4 7 0.37619694587857466 0.02380305412142536
37 4 7 0.3360882192840979 0.06391178071590214
37 4 13 0.3948941667523693 0.005105833247630698
37 8 9 0.392399918888837 0.007600081111163004
38 4 7 0.2875395320697716 0.1124604679302284
38 4 13 0.3958313854738543 0.0041686145261456975
39 4 7 0.2576488301241706 0.1423511698758294
40 4 7 0.25450362945995036 0.14549637054004966
41 4 7 0.2530530693602945 0.14694693063970554
42 4 7 0.24903282841068125 0.15096717158931877
42 9 14 0.3768834035096379 0.02311659649036213
43 4 7 0.24871440242905887 0.15128559757094115
43 9 14 0.37891958033443524 0.021080419665564787
44 4 7 0.24849260907327192 0.1515073909267281
45 4 7 0.24569392538152593 0.1543060746184741
45 4 13 0.39963988649931903 3.601135006809919E-4
46 4 7 0.24566190072005462 0.1543380992799454
47 4 7 0.24411158639992206 0.15588841360007796
48 4 7 0.23902035226047205 0.16097964773952797
49 4 7 0.234304371595104 0.16569562840489602
50 4 7 0.23144297766994512 0.1685570223300549
51 4 7 0.23031838148465975 0.16968161851534028
52 4 7 0.2294001737318719 0.1705998262681281
53 4 7 0.23042273025832546 0.16957726974167456
54 4 7 0.23069371230339242 0.1693062876966076
55 4 7 0.23208788473169797 0.16791211526830205
56 4 7 0.23750322943207114 0.16249677056792888
57 4 7 0.3202955661912295 0.07970443380877051
