timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 1 16 0.3286629409380315 0.07133705906196852
2 4 15 0.39008694767917984 0.009913052320820182
2 5 18 0.38002289065831185 0.01997710934168817
2 10 11 0.3921839542770307 0.007816045722969345
3 1 16 0.3292537317249117 0.07074626827508834
3 1 17 0.28024107961399414 0.11975892038600588
3 2 11 0.3332496574777012 0.06675034252229883
3 3 8 0.3245429738295212 0.07545702617047884
3 4 7 0.2984763590096865 0.10152364099031352
3 4 15 0.3737580466676216 0.026241953332378443
3 6 14 0.35453601739331847 0.04546398260668155
3 9 18 0.32334825725578004 0.07665174274421999
3 10 11 0.19151592251152136 0.20848407748847866
3 16 17 0.3148980040121184 0.0851019959878816
4 1 17 0.2067433756291255 0.1932566243708745
4 2 11 0.346816537952328 0.05318346204767205
4 3 8 0.2565979031125587 0.14340209688744132
4 4 7 0.22691664912843898 0.17308335087156104
4 6 14 0.30462367332465135 0.09537632667534868
4 6 17 0.35375028926040736 0.046249710739592664
4 8 12 0.3478643307714185 0.05213566922858154
4 9 18 0.3178806584054544 0.08211934159454565
4 9 20 0.3847254180942847 0.015274581905715345
4 10 11 0.21030433349263125 0.18969566650736877
4 15 20 0.39077390592614775 0.009226094073852276
5 1 17 0.3104423962044554 0.08955760379554462
5 2 11 0.3834972855142838 0.01650271448571622
5 3 8 0.23801779284909397 0.16198220715090605
5 4 7 0.22903075348659505 0.17096924651340498
5 6 14 0.280855765901918 0.119144234098082
5 6 17 0.2754834043638759 0.1245165956361241
5 8 12 0.2649813395619699 0.13501866043803012
5 9 20 0.28792452798217905 0.11207547201782098
5 10 11 0.3190009098864328 0.08099909011356721
5 15 20 0.3431238353483273 0.05687616465167272
5 16 18 0.33446591973644446 0.06553408026355556
6 1 17 0.3933665020090502 0.00663349799094981
6 3 8 0.2400981155995596 0.15990188440044042
6 4 7 0.2714071139018726 0.1285928860981274
6 6 14 0.27571102720402835 0.12428897279597168
6 6 17 0.24666113585703361 0.1533388641429664
6 8 12 0.3188055247411748 0.08119447525882523
6 9 20 0.24847443270506483 0.1515255672949352
6 15 20 0.3223110551009006 0.07768894489909944
6 16 18 0.34345920958730364 0.056540790412696385
7 3 8 0.2571149211156536 0.14288507888434643
7 4 7 0.3226329623794714 0.0773670376205286
7 4 20 0.36841239841327894 0.03158760158672108
7 6 14 0.33562700577759447 0.06437299422240556
7 6 17 0.28321052419172654 0.11678947580827348
7 9 20 0.24751160754201953 0.1524883924579805
7 15 20 0.344397330637288 0.05560266936271202
8 1 16 0.34774302202191554 0.052256977978084485
8 3 8 0.26012331701777514 0.1398766829822249
8 4 7 0.3633661201041347 0.03663387989586531
8 4 20 0.2989477995360128 0.10105220046398722
8 5 18 0.35407464256377286 0.045925357436227165
8 6 17 0.3683303812791042 0.0316696187208958
8 9 20 0.30963498402776285 0.09036501597223717
9 1 16 0.31883354274925 0.08116645725075
9 3 8 0.2575833730946038 0.14241662690539625
9 4 7 0.38394702590411695 0.016052974095883077
9 4 20 0.2797794922088295 0.1202205077911705
9 5 18 0.3136780922573228 0.08632190774267723
9 9 15 0.36153034754747976 0.038469652452520264
9 9 20 0.39289019697027816 0.007109803029721862
10 1 16 0.3503802410870608 0.04961975891293924
10 3 8 0.3192333884869977 0.0807666115130023
10 4 7 0.3742812145580439 0.025718785441956105
10 4 20 0.3480601480440591 0.05193985195594092
10 5 18 0.3071682464584301 0.09283175354156992
10 9 15 0.310368554313357 0.089631445686643
