timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 6 8 0.37001810579504274 0.029981894204957282
1 6 18 0.39905644600427403 9.435539957259875E-4
1 8 10 0.3490350386400981 0.05096496135990192
1 9 10 0.39679019133893784 0.0032098086610621857
1 12 17 0.36343355557912527 0.036566444420874755
2 6 8 0.37142894691326506 0.028571053086734965
2 8 10 0.34477535168465967 0.05522464831534035
2 9 10 0.3961138572172761 0.0038861427827239226
2 12 17 0.36356213628310813 0.036437863716891894
3 3 20 0.3997569818147507 2.4301818524929963E-4
3 8 10 0.33393640515887923 0.06606359484112079
3 9 10 0.3985278465733222 0.0014721534266778358
3 11 17 0.3957730939027901 0.004226906097209937
4 3 20 0.3944253190606328 0.005574680939367249
4 8 10 0.33298503274952157 0.06701496725047845
4 11 17 0.36446442232699805 0.03553557767300197
