timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 4 13 0.34398346952008907 0.05601653047991095
1 5 16 0.3937435955740805 0.006256404425919515
1 9 16 0.39974612044648133 2.5387955351868774E-4
2 4 13 0.3398358375069983 0.060164162493001716
2 5 16 0.3900929820237068 0.009907017976293231
3 4 7 0.39302689534637814 0.006973104653621887
3 4 13 0.3580541400225981 0.04194585997740191
3 5 16 0.3922731176847081 0.00772688231529195
4 4 7 0.36707682855474655 0.032923171445253474
4 4 13 0.3778799824951435 0.022120017504856537
4 5 16 0.3972624052657311 0.0027375947342689333
