timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 3 12 0.39055387552734244 0.00944612447265758
1 9 19 0.3825371387536434 0.017462861246356598
1 12 15 0.3859872829925317 0.014012717007468312
1 14 19 0.35318777014670316 0.04681222985329686
1 21 25 0.3839540535635817 0.016045946436418324
2 12 15 0.3792214752296192 0.020778524770380835
2 14 19 0.3419395180854107 0.058060481914589346
2 21 25 0.3834251829209021 0.016574817079097914
3 12 15 0.39560844717875576 0.00439155282124426
3 14 19 0.33859280112405277 0.061407198875947255
3 21 25 0.390028604223983 0.009971395776017022
4 7 24 0.3996971308195821 3.0286918041794175E-4
4 14 19 0.35544463141789295 0.04455536858210707
