timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 8 20 0.3488168455268742 0.051183154473125825
1 8 23 0.3330723089537518 0.06692769104624824
2 8 20 0.34950845856549057 0.05049154143450946
2 8 23 0.3346482335149243 0.06535176648507574
3 1 6 0.39427343568170875 0.005726564318291272
3 8 20 0.3507462552058109 0.04925374479418915
3 8 23 0.3575843364822478 0.04241566351775222
4 1 6 0.383903876925117 0.016096123074883006
4 4 12 0.39658243872933874 0.0034175612706612846
4 8 20 0.3514503771292766 0.0485496228707234
